2024-09-28T22:13:17.661+0100 INFO Forecast for city 1030800PT | 2024-09-28 | Min Temperature:  6,2 | Max Temperature: 20,9 | Precipitation prob:  0,0 | Wind Direction: EPT | 2024-09-29 | Min Temperature:  9,3 | Max Temperature: 22,6 | Precipitation prob:  0,0 | Wind Direction: EPT | 2024-09-30 | Min Temperature: 11,4 | Max Temperature: 25,0 | Precipitation prob:  2,0 | Wind Direction: WPT | 2024-10-01 | Min Temperature: 15,0 | Max Temperature: 20,1 | Precipitation prob: 91,0 | Wind Direction: SWPT | 2024-10-02 | Min Temperature: 17,3 | Max Temperature: 20,3 | Precipitation prob: 99,0 | Wind Direction: SW
2024-09-28T22:13:18.659+0100 INFO Forecast for city 3480200PT | 2024-09-28 | Min Temperature: 21,6 | Max Temperature: 26,5 | Precipitation prob: 100,0 | Wind Direction: SWPT | 2024-09-29 | Min Temperature: 20,6 | Max Temperature: 26,4 | Precipitation prob: 100,0 | Wind Direction: SWPT | 2024-09-30 | Min Temperature: 22,1 | Max Temperature: 26,9 | Precipitation prob: 97,0 | Wind Direction: SWPT | 2024-10-01 | Min Temperature: 22,3 | Max Temperature: 26,7 | Precipitation prob: 97,0 | Wind Direction: SWPT | 2024-10-02 | Min Temperature: 21,6 | Max Temperature: 26,3 | Precipitation prob: 96,0 | Wind Direction: SW
2024-09-28T22:13:19.658+0100 INFO Forecast for city 1171400PT | 2024-09-28 | Min Temperature:  6,7 | Max Temperature: 19,4 | Precipitation prob:  0,0 | Wind Direction: EPT | 2024-09-29 | Min Temperature:  9,5 | Max Temperature: 23,0 | Precipitation prob:  0,0 | Wind Direction: WPT | 2024-09-30 | Min Temperature: 11,0 | Max Temperature: 24,6 | Precipitation prob:  0,0 | Wind Direction: WPT | 2024-10-01 | Min Temperature: 12,4 | Max Temperature: 21,8 | Precipitation prob: 61,0 | Wind Direction: WPT | 2024-10-02 | Min Temperature: 16,4 | Max Temperature: 20,7 | Precipitation prob: 95,0 | Wind Direction: W
2024-09-28T22:13:20.659+0100 INFO Forecast for city 1160900PT | 2024-09-28 | Min Temperature:  8,7 | Max Temperature: 19,9 | Precipitation prob:  0,0 | Wind Direction: EPT | 2024-09-29 | Min Temperature:  9,7 | Max Temperature: 20,3 | Precipitation prob:  6,0 | Wind Direction: EPT | 2024-09-30 | Min Temperature: 12,7 | Max Temperature: 21,2 | Precipitation prob: 18,0 | Wind Direction: WPT | 2024-10-01 | Min Temperature: 14,2 | Max Temperature: 19,8 | Precipitation prob: 100,0 | Wind Direction: SEPT | 2024-10-02 | Min Temperature: 14,8 | Max Temperature: 20,4 | Precipitation prob: 98,0 | Wind Direction: SW
2024-09-28T22:13:21.655+0100 INFO Forecast for city 1070500PT | 2024-09-28 | Min Temperature:  9,9 | Max Temperature: 26,0 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-09-29 | Min Temperature: 11,3 | Max Temperature: 29,0 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-30 | Min Temperature: 13,5 | Max Temperature: 31,7 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-10-01 | Min Temperature: 15,0 | Max Temperature: 28,7 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 16,7 | Max Temperature: 27,8 | Precipitation prob: 34,0 | Wind Direction: NW
2024-09-28T22:13:22.665+0100 INFO Forecast for city 1081100PT | 2024-09-28 | Min Temperature: 12,2 | Max Temperature: 25,5 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-09-29 | Min Temperature: 14,5 | Max Temperature: 27,4 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-09-30 | Min Temperature: 15,5 | Max Temperature: 28,5 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-10-01 | Min Temperature: 17,3 | Max Temperature: 29,3 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-10-02 | Min Temperature: 18,0 | Max Temperature: 27,0 | Precipitation prob:  7,0 | Wind Direction: NW
2024-09-28T22:13:23.655+0100 INFO Forecast for city 1040200PT | 2024-09-28 | Min Temperature:  4,2 | Max Temperature: 18,5 | Precipitation prob:  0,0 | Wind Direction: EPT | 2024-09-29 | Min Temperature:  7,0 | Max Temperature: 22,3 | Precipitation prob:  0,0 | Wind Direction: WPT | 2024-09-30 | Min Temperature:  8,0 | Max Temperature: 25,1 | Precipitation prob:  0,0 | Wind Direction: SWPT | 2024-10-01 | Min Temperature: 10,4 | Max Temperature: 21,8 | Precipitation prob: 16,0 | Wind Direction: WPT | 2024-10-02 | Min Temperature: 14,4 | Max Temperature: 20,4 | Precipitation prob: 92,0 | Wind Direction: SW
2024-09-28T22:13:24.657+0100 INFO Forecast for city 1030300PT | 2024-09-28 | Min Temperature:  7,3 | Max Temperature: 22,6 | Precipitation prob:  0,0 | Wind Direction: EPT | 2024-09-29 | Min Temperature:  9,0 | Max Temperature: 23,5 | Precipitation prob:  0,0 | Wind Direction: SWPT | 2024-09-30 | Min Temperature: 12,4 | Max Temperature: 26,0 | Precipitation prob:  3,0 | Wind Direction: WPT | 2024-10-01 | Min Temperature: 15,5 | Max Temperature: 21,1 | Precipitation prob: 93,0 | Wind Direction: SWPT | 2024-10-02 | Min Temperature: 17,6 | Max Temperature: 21,4 | Precipitation prob: 98,0 | Wind Direction: SW
2024-09-28T22:13:25.659+0100 INFO Forecast for city 2320100PT | 2024-09-28 | Min Temperature: 20,8 | Max Temperature: 25,8 | Precipitation prob:  0,0 | Wind Direction: NEPT | 2024-09-29 | Min Temperature: 20,4 | Max Temperature: 24,5 | Precipitation prob:  0,0 | Wind Direction: NEPT | 2024-09-30 | Min Temperature: 20,1 | Max Temperature: 24,7 | Precipitation prob:  0,0 | Wind Direction: NEPT | 2024-10-01 | Min Temperature: 20,5 | Max Temperature: 25,9 | Precipitation prob:  0,0 | Wind Direction: NEPT | 2024-10-02 | Min Temperature: 21,5 | Max Temperature: 26,1 | Precipitation prob:  0,0 | Wind Direction: NE
2024-09-28T22:13:26.658+0100 INFO Forecast for city 1100900PT | 2024-09-28 | Min Temperature:  8,4 | Max Temperature: 22,8 | Precipitation prob:  0,0 | Wind Direction: NEPT | 2024-09-29 | Min Temperature:  8,4 | Max Temperature: 24,1 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-30 | Min Temperature:  9,3 | Max Temperature: 24,5 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-10-01 | Min Temperature: 15,6 | Max Temperature: 23,8 | Precipitation prob: 26,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 17,6 | Max Temperature: 22,8 | Precipitation prob: 90,0 | Wind Direction: W
